ISO,Rank2020,FR_Country,EN_country,ES_country,AR_country,FA_country,Score 2020,Progression RANK,Rank 2019,Score 2019,Zone
NOR,1,Norvège,Norway,Noruega,النرويج,نروژ,"7,84",0,1,"7,82",UE Balkans
FIN,2,Finlande,Finland,Finlandia,فنلندا,فنلاند,"7,93",0,2,"7,9",UE Balkans
DNK,3,Danemark,Denmark,Dinamarca,الدنمارك,دانمارک,"8,13",2,5,"9,87",UE Balkans
SWE,4,Suede,Sweden,Suecia,السويد,سوئد,"9,25",-1,3,"8,31",UE Balkans
NLD,5,Pays-Bas,Netherlands,Países Bajos,هولندا,هلند,"9,96",-1,4,"8,63",UE Balkans
JAM,6,Jamaïque,Jamaica,Jamaica,جامايكا,جامائیکا,"10,51",2,8,"11,13",Amériques
CRI,7,Costa Rica,Costa Rica,Costa Rica,كوستاريكا,کاستاریکا,"10,53",3,10,"12,24",Amériques
CHE,8,Suisse,Switzerland,Suiza,سويسرا,سويیس,"10,62",-2,6,"10,52",UE Balkans
NZL,9,Nouvelle-Zélande,New Zealand,Nueva Zelanda,نيوزيلاندا,زلاند نو,"10,69",-2,7,"10,75",Asie-Pacifique
PRT,10,Portugal,Portugal,Portugal,البرتغال,پرتغال,"11,83",2,12,"12,63",UE Balkans
DEU,11,Allemagne,Germany,Alemania,ألمانيا,آلمان,"12,16",2,13,"14,6",UE Balkans
BEL,12,Belgique,Belgium,Bélgica,بلجيكا,بلژیک,"12,57",-3,9,"12,07",UE Balkans
IRL,13,Irlande,Ireland,Irlanda,أيرلندا,ایرلند,"12,6",2,15,15,UE Balkans
EST,14,Estonie,Estonia,Estonia,إستونيا,استونی,"12,61",-3,11,"12,27",UE Balkans
ISL,15,Islande,Iceland,Islandia,أيسلندا,ایسلند,"15,12",-1,14,"14,71",UE Balkans
CAN,16,Canada,Canada,Canadà,كندا,کانادا,"15,29",2,18,"15,69",Amériques
LUX,17,Luxembourg,Luxembourg,Luxemburgo,لوكسمبورغ,لوکزامبورگ,"15,46",0,17,"15,66",UE Balkans
AUT,18,Autriche,Austria,Austria,النمسا,اتریش,"15,78",-2,16,"15,33",UE Balkans
URY,19,Uruguay,Uruguay,Uruguay,أوروغواي,اروگويه,"15,79",0,19,"16,06",Amériques
SUR,20,Surinam,Suriname,Surinam,سورينام,سورینام,"17,5",0,20,"16,38",Amériques
WSM,21,Samoa,Samoa,Samoa,ساموا,ساموآ,"18,25",1,22,"18,25",Asie-Pacifique
LVA,22,Lettonie,Latvia,Letonia,لاتفيا,لتوانی,"18,56",2,24,"19,53",UE Balkans
NAM,23,Namibie,Namibia,Namibia,ناميبيا,نامیبیا,"19,25",0,23,"18,95",Afrique
LIE,24,Liechtenstein,Liechtenstein,Liechtenstein,ليختنشتاين,لیختن‌اشتاین,"19,52",2,26,"20,49",UE Balkans
CPV,25,Cap-Vert,Cape Verde,Cabo Verde,الرأس الأخضر,کیپورد,"20,15",0,25,"19,81",Afrique
AUS,26,Australie,Australia,Australia,أستراليا,استرالیا,"20,21",-5,21,"16,55",Asie-Pacifique
CYP,27,Chypre,Cyprus,Chipre,قبرص,قبرس,"20,45",1,28,"21,74",UE Balkans
LTU,28,Lituanie,Lithuania,Lituania,ليتوانيا,لیتوانی,"21,19",2,30,"22,06",UE Balkans
ESP,29,Espagne,Spain,España,إسبانيا,اسپانیا,"22,16",0,29,"21,99",UE Balkans
GHA,30,Ghana,Ghana,Ghana,غانا,غنا,"22,26",-3,27,"20,81",Afrique
ZAF,31,Afrique du Sud,South Africa,Sudàfrica,جنوب أفريقيا,آفریقای جنوبی,"22,41",0,31,"22,19",Afrique
SVN,32,Slovénie,Slovenia,Eslovenia,سلوفينيا,اسلوانی,"22,64",2,34,"22,31",UE Balkans
SVK,33,Slovaquie,Slovakia,Eslovaquia,سلوفاكيا,اسلواکی,"22,67",2,35,"23,58",UE Balkans
FRA,34,France,France,Francia,فرنسا,فرانسه,"22,92",-2,32,"22,21",UE Balkans
